"Sample","SRS_7","SRSq_7","SRS_19","SRSq_19"
"qns31079_132","SRS2",0.58114290913603,"SRS2",0.635998969575795
"qns31079_133","SRS2",0.65051093227765,"SRS2",0.784348609272657
"qns31079_134","SRS1",0.884156821289035,"SRS1",0.953854194144793
"qns31079_135","SRS2",0.675741079490993,"SRS2",0.756901459492527
"qns31079_136","SRS1",0.899385315548358,"SRS1",0.926018402985935
"qns31079_137","SRS1",0.796100067694365,"SRS1",0.747193147438469
"qns31079_138","SRS2",0.641577939919746,"SRS2",0.800920298281212
"qns31079_139","SRS1",0.884249506471474,"SRS1",0.91720117311852
"qns31079_140","SRS2",0.40587876332685,"SRS2",0.776845346639953
"qns31079_141","SRS1",0.942572861434041,"SRS1",0.940677085457475
"qns31079_142","SRS1",0.868227869659361,"SRS1",0.938192952622007
"qns31079_143","SRS2",0.437879721733741,"SRS2",0.736850684895788
"qns31079_144","SRS3",0.231687855177103,"SRS1",0.799728794031724
"qns31079_145","SRS1",0.876077340264379,"SRS1",0.91400532780503
"qns31079_146","SRS2",0.429179977360696,"SRS2",0.611029326656525
"qns31079_147","SRS3",0.0703817876474259,"SRS2",0.644074268921686
"qns31079_148","SRS2",0.5440141628996,"SRS2",0.621519878591552
"qns31079_149","SRS3",0.381610921250678,"SRS1",0.830135632934619
"qns31079_150","SRS2",0.457949699758957,"SRS2",0.681342204222695
"qns31079_151","SRS2",0.694673843967678,"SRS1",0.839802976903071
"qns31079_152","SRS2",0.481446247652529,"SRS2",0.569726817401267
"qns31079_177","SRS2",0.471046694895335,"SRS2",0.719320153539051
"qns31079_178","SRS2",0.169942229448793,"SRS2",0.708404681902715
"qns31079_179","SRS1",0.859552243418445,"SRS1",0.89018602129595
"qns31079_180","SRS1",0.828183804922918,"SRS1",0.865996773350884
"qns31079_181","SRS3",0.109638520501163,"SRS2",0.411145050128179
"qns31079_182","SRS2",0.524882688677979,"SRS2",0.713951814748921
"qns31079_184","SRS2",0.471030621268012,"SRS2",0.650991192083395
"qns31079_185","SRS2",0.594987625733778,"SRS1",0.818849436208517
"qns31079_186","SRS2",0.490669324379209,"SRS2",0.759677665586956
"qns31079_187","SRS3",0.239634364194134,"SRS2",0.690144526882758
